,source,link,date
0,breitbart,/politics/2019/01/01/democrats-silent-on-good-faith-offer-to-open-government-says-white-house/,2019-01-01
1,breitbart,/politics/2019/01/01/trump-says-he-looks-forward-to-meeting-with-north-korean-leader-kim/,2019-01-01
2,breitbart,/politics/2019/01/01/trump-campaign-manager-hits-back-at-jealous-mitt-romney-lacked-the-ability-to-save-this-nation/,2019-01-01
3,breitbart,/politics/2019/01/01/mitt-romney-slams-trumps-character-in-washington-post-op-ed/,2019-01-01
4,breitbart,/politics/2019/01/01/poll-most-democrats-pessimistic-about-2019/,2019-01-01
5,breitbart,/politics/2019/01/01/timeline-mitt-romney-history-of-backstabbing-donald-trump/,2019-01-01
6,breitbart,/clips/2019/01/01/dem-rep-dingell-lets-reopen-the-government-give-us-time-to-negotiate/,2019-01-01
7,breitbart,/politics/2019/01/01/10-times-president-trump-honored-the-military/,2019-01-01
8,breitbart,/politics/2019/01/01/11-incoming-democrats-who-cannot-wait-to-kick-some-trump-ass/,2019-01-01
9,breitbart,/politics/2019/01/01/oregon-becomes-latest-state-allow-roadkill-food/,2019-01-01
10,breitbart,/clips/2019/01/01/cnns-avlon-warns-dems-no-one-should-be-an-impeachment-enthusiast/,2019-01-01
11,breitbart,/politics/2019/01/01/donald-trump-hits-back-at-general-mcchrystal-big-dumb-mouth/,2019-01-01
12,breitbart,/entertainment/2019/01/01/kanye-west-kicks-off-2019-by-reasserting-support-of-donald-trump/,2019-01-01
13,breitbart,/politics/2019/01/01/watch-feminist-promotes-abortion-to-children/,2019-01-01
14,breitbart,/politics/2019/01/01/phillys-first-homicide-2019-takes-place-12-minutes-new-year/,2019-01-01
15,breitbart,/politics/2019/01/01/tom-cotton-blocks-jobs-giveaway-foreign-graduates/,2019-01-01
16,breitbart,/politics/2019/01/01/two-sisters-accused-fatally-beating-3-year-old-taking-cupcake/,2019-01-01
17,breitbart,/politics/2019/01/01/strategic-command-video-showing-what-they-do-causes-mass-uproar/,2019-01-01
18,breitbart,/clips/2019/01/01/msnbcs-tur-all-trump-knows-how-to-do-is-pick-fights-to-stay-in-the-headlines/,2019-01-01
19,breitbart,/clips/2019/01/01/dem-rep-brown-were-not-going-to-move-on-wall-unless-its-part-of-comprehensive-reform/,2019-01-01
20,breitbart,/faith/2019/01/01/hindu-hardliners-reject-celebration-christian-new-year/,2019-01-01
21,breitbart,/politics/2019/01/01/elizabeth-warren-copies-ocasio-cortez-with-casual-beer-drinking-live-stream/,2019-01-01
22,breitbart,/politics/2019/01/01/fail-michael-avenatti-predicted-don-jr-would-be-indicted-by-new-year/,2019-01-01
23,breitbart,/politics/2019/01/01/hillary-clintons-new-years-post-2018-was-a-dark-time-for-our-country/,2019-01-01
24,breitbart,/the-media/2019/01/01/washington-post-fact-checks-trump-obama-built-a-fence-on-top-of-a-wall-not-a-wall-at-his-new-home/,2019-01-01
25,breitbart,/faith/2019/01/01/pope-francis-the-human-family-is-built-upon-mothers/,2019-01-01
26,breitbart,/clips/2019/01/01/jesse-jackson-hillary-won-by-3-million-votes-and-lost-theres-something-wrong-with-that/,2019-01-01
27,breitbart,/europe/2019/01/01/report-greek-population-dangerous-decline/,2019-01-01
28,breitbart,/entertainment/2019/01/01/robert-de-niro-america-is-in-crisis-something-mentally-wrong-with-trump/,2019-01-01
29,breitbart,/border/2019/01/01/top-5-voter-fraud-cases-along-texas-border-in-2018/,2019-01-01
30,breitbart,/economy/2019/01/02/shutdown-fight-covers-just-1%c2%a2-for-every-10-in-2019-budget/,2019-01-02
31,breitbart,/clips/2019/01/02/wh-spox-schlapp-1-3-billion-is-obviously-not-going-to-be-enough/,2019-01-02
32,breitbart,/politics/2019/01/02/brazils-jair-bolsonaro-hoodlums-already-have-guns-time-to-level-playing-field/,2019-01-02
33,breitbart,/politics/2019/01/02/kristan-hawkins-what-does-a-constitutional-right-require/,2019-01-02
34,breitbart,/politics/2019/01/02/trump-says-stock-glitch-in-december-market-still-up-30/,2019-01-02
35,breitbart,/politics/2019/01/02/fitton-judicial-watch-sues-for-special-counsel-robert-muellers-security-detail-costs/,2019-01-02
36,breitbart,/clips/2019/01/02/warren-its-right-to-get-troops-out-of-syria-and-afghanistan/,2019-01-02
37,breitbart,/politics/2019/01/02/in-memoriam-12-americans-allegedly-killed-by-illegal-aliens-in-2018/,2019-01-02
38,breitbart,/politics/2019/01/02/top-10-stupid-new-california-laws-in-2019/,2019-01-02
39,breitbart,/politics/2019/01/02/migrants-remittances-to-mexico-central-america-jump-to-53-billion-in-2018/,2019-01-02
40,breitbart,/politics/2019/01/02/border-patrol-violent-mob-attacked-agents-attempted-to-push-minors-over-barbed-wire/,2019-01-02
41,breitbart,/national-security/2019/01/02/china-taiwan-independence-dead-end-reunification/,2019-01-02
42,breitbart,/politics/2019/01/02/donald-trump-i-essentially-fired-jim-mattis-dissatisfied-with-progress-on-afghanistan/,2019-01-02
43,breitbart,/politics/2019/01/02/shutdown-showdown-donald-trump-refuses-to-budge-on-border-security-funding-demands/,2019-01-02
44,breitbart,/politics/2019/01/02/democrat-gov-nc-illegally-appoint-members-state-board-of-elections/,2019-01-02
45,breitbart,/politics/2019/01/02/previously-deported-illegal-alien-drug-trafficker-charged-with-rape/,2019-01-02
46,breitbart,/politics/2019/01/02/illegal-alien-officially-charged-with-murdering-california-officer-ron-singh/,2019-01-02
47,breitbart,/politics/2019/01/02/ny-times-40-year-flood-of-immigration-turns-orange-county-blue/,2019-01-02
48,breitbart,/politics/2019/01/02/billionaire-kochs-plot-daca-amnesty-vow-not-to-support-trump-in-2020/,2019-01-02
49,breitbart,/clips/2019/01/02/romney-trump-is-not-presidential-im-going-to-wait-and-see-2020-alternatives/,2019-01-02
50,breitbart,/politics/2019/01/02/bullying-kanye-harassing-old-women-penis-talk-top-7-embarrassing-moments-from-cnn-in-2018/,2019-01-02
51,breitbart,/politics/2019/01/02/leftwing-media-attack-mo-brooks-for-blaming-open-borders-democrats-for-murdered-americans/,2019-01-02
52,breitbart,/politics/2019/01/02/dan-crenshaw-trump-wall-crucial-to-border-security/,2019-01-02
53,breitbart,/politics/2019/01/02/need-to-impeach-tom-steyer-to-visit-key-presidential-primary-states/,2019-01-02
54,breitbart,/politics/2019/01/02/coulter-please-no-more-border-security/,2019-01-02
55,breitbart,/middle-east/2019/01/02/breitbart-news-columnist-caroline-glick-joins-israeli-new-right-party-ahead-of-election/,2019-01-02
56,breitbart,/politics/2019/01/02/5-america-first-legal-immigration-promises-trump-must-keep-this-year/,2019-01-02
57,breitbart,/politics/2019/01/02/jerry-nadler-vows-to-subpoena-acting-ag-whitaker-over-mueller-probe/,2019-01-02
58,breitbart,/politics/2019/01/02/democrats-would-not-even-finish-white-house-situation-room-briefing-on-border/,2019-01-02
59,breitbart,/tech/2019/01/02/former-apple-marketing-chief-hillary-clinton-turned-down-help-from-silicon-valley/,2019-01-02
60,breitbart,/economy/2019/01/03/essica-vaughn-trump-should-expand-border-wall-talks-to-include-trade-healthcare-deals/,2019-01-03
61,breitbart,/clips/2019/01/03/watchpelosi-jokes-about-paying-1-for-trumps-border-wall/,2019-01-03
62,breitbart,/clips/2019/01/03/bill-kristol-trumps-presser-was-a-ludicrous-stunt/,2019-01-03
63,breitbart,/politics/2019/01/03/rashida-tlaibs-first-day-in-congress-were-gonna-impeach-the-motherfker/,2019-01-03
